name,description,homepage,num_install_30d,num_install_90d,num_install_365d,num_install_on_request_30d,num_install_on_request_90d,num_install_on_request_365d,generated_date
amtk,"Actions, Menus and Toolbars Kit for GNOME",https://wiki.gnome.org/Projects/Amtk,1013,3172,19107,58,230,2507,2021-08-21
amtterm,Serial-over-LAN (sol) client for Intel AMT,https://www.kraxel.org/blog/linux/amtterm/,4,13,70,4,13,68,2021-08-21
analog,Logfile analyzer,https://tracker.debian.org/pkg/analog,6,21,151,6,21,152,2021-08-21
angband,Dungeon exploration game,https://angband.github.io/angband/,155,265,635,154,264,624,2021-08-21
angle-grinder,Slice and dice log files on the command-line,https://github.com/rcoh/angle-grinder,219,364,918,219,364,919,2021-08-21
angular-cli,CLI tool for Angular,https://cli.angular.io/,4215,12176,44780,4207,12149,44666,2021-08-21
anime-downloader,Download your favourite anime,https://github.com/anime-dl/anime-downloader,82,229,2290,82,229,2283,2021-08-21
anjuta,GNOME Integrated Development Environment,http://anjuta.org,66,188,586,66,188,584,2021-08-21
annie,"Fast, simple and clean video downloader",https://github.com/iawia002/annie,234,722,4126,235,723,4131,2021-08-21
ansible,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,39988,121741,517581,39103,119098,507856,2021-08-21
ansible-cmdb,Generates static HTML overview page from Ansible facts,https://github.com/fboender/ansible-cmdb,33,114,689,33,114,686,2021-08-21
ansible-lint,Checks ansible playbooks for practices and behaviour,https://github.com/ansible/ansible-lint/,1971,8321,31842,1974,8324,31837,2021-08-21
ansible@2.8,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,221,764,3556,222,765,3551,2021-08-21
ansible@2.9,"Automate deployment, configuration, and upgrading",https://www.ansible.com/,874,2508,5045,873,2505,5040,2021-08-21
ansifilter,"Strip or convert ANSI codes into HTML, (La)Tex, RTF, or BBCode",http://www.andre-simon.de/doku/ansifilter/ansifilter.html,88,236,1575,88,235,1543,2021-08-21
ansiweather,"Weather in your terminal, with ANSI colors and Unicode symbols",https://github.com/fcambus/ansiweather,106,290,1648,107,291,1630,2021-08-21
ant,Java build tool,https://ant.apache.org/,9098,26466,116815,8469,24703,102480,2021-08-21
ant-contrib,Collection of tasks for Apache Ant,https://ant-contrib.sourceforge.io/,76,203,673,70,195,666,2021-08-21
ant@1.9,Java build tool,https://ant.apache.org/,522,1431,5479,217,741,2444,2021-08-21
antibody,Shell plugin manager,https://getantibody.github.io/,174,605,3055,174,606,3051,2021-08-21
antigen,"Plugin manager for zsh, inspired by oh-my-zsh and vundle",https://antigen.sharats.me/,685,2030,8398,685,2029,8407,2021-08-21
antiword,Utility to read Word (.doc) files,http://www.winfield.demon.nl/,107,397,1821,107,395,1802,2021-08-21
antlr,ANother Tool for Language Recognition,https://www.antlr.org/,325,1134,6017,319,1076,5892,2021-08-21
antlr@2,ANother Tool for Language Recognition,https://www.antlr2.org/,140,492,1998,32,94,284,2021-08-21
antlr4-cpp-runtime,ANother Tool for Language Recognition C++ Runtime Library,https://www.antlr.org/,157,442,1498,157,442,1498,2021-08-21
anttweakbar,C/C++ library for adding GUIs to OpenGL apps,https://anttweakbar.sourceforge.io/,16,53,225,16,53,225,2021-08-21
anycable-go,WebSocket server with action cable protocol,https://github.com/anycable/anycable-go,130,471,1675,131,472,1674,2021-08-21
anyenv,All in one for **env,https://anyenv.github.io/,2271,7055,20947,2269,7053,20942,2021-08-21
aoeui,Lightweight text editor optimized for Dvorak and QWERTY keyboards,https://code.google.com/archive/p/aoeui/,1,6,24,1,6,24,2021-08-21
aom,Codec library for encoding and decoding AV1 video streams,https://aomedia.googlesource.com/aom,192022,532204,1853900,3037,7426,22131,2021-08-21
apache-archiva,Build Artifact Repository Manager,https://archiva.apache.org/,24,77,175,24,77,174,2021-08-21
apache-arrow,Columnar in-memory analytics layer designed to accelerate big data,https://arrow.apache.org/,1705,5475,18027,985,3113,10157,2021-08-21
apache-arrow-glib,GLib bindings for Apache Arrow,https://arrow.apache.org/,191,564,2197,191,563,2196,2021-08-21
apache-brooklyn-cli,Apache Brooklyn command-line interface,https://brooklyn.apache.org,20,35,122,20,35,121,2021-08-21
apache-ctakes,NLP system for extraction of information from EMR clinical text,https://ctakes.apache.org,23,59,101,23,59,101,2021-08-21
apache-drill,"Schema-free SQL Query Engine for Hadoop, NoSQL and Cloud Storage",https://drill.apache.org,63,228,824,63,228,813,2021-08-21
apache-flink,Scalable batch and stream data processing,https://flink.apache.org/,557,1650,7549,559,1650,7546,2021-08-21
apache-forrest,Publishing framework providing multiple output formats,https://forrest.apache.org/,14,29,126,14,28,124,2021-08-21
apache-geode,In-memory Data Grid for fast transactional data processing,https://geode.apache.org/,39,106,286,38,104,280,2021-08-21
apache-opennlp,Machine learning toolkit for processing natural language text,https://opennlp.apache.org/,30,93,293,30,93,289,2021-08-21
apache-spark,Engine for large-scale data processing,https://spark.apache.org/,3624,13483,54708,3617,13451,54359,2021-08-21
apachetop,Top-like display of Apache log,https://web.archive.org/web/20170809160553/freecode.com/projects/apachetop,18,53,164,18,53,161,2021-08-21
apcupsd,Daemon for controlling APC UPSes,http://www.apcupsd.org,32,102,453,32,102,454,2021-08-21
